countyFips,placeFips,area,year,cbBuildingPermit,sdoBuildingPermit,totalPopulation,householdPopulation,personsPerHousehold,totalHousingUnits,occupiedHousingUnits,vacantHousingUnits
005,04000,Aurora (Part),2013,525,525,305268,303864,2.62,119157,115876,3281
005,06090,Bennett (Part),2013,0,0,372,372,3.01,126,124,2
005,08070,Bow Mar (Part),2013,1,0,595,595,2.95,204,202,2
005,12815,Centennial,2013,340,332,104697,102869,2.64,39574,38983,591
005,13845,Cherry Hills Village,2013,14,14,6348,6348,3.01,2167,2108,59
005,16385,Columbine Valley,2013,1,0,1335,1335,2.6,531,513,18
005,19630,Deer Trail,2013,0,0,649,649,2.5,279,260,19
005,24785,Englewood,2013,2,2,31385,31082,2.08,15412,14921,491
005,28105,Foxfield,2013,3,0,748,731,2.76,270,265,5
005,30340,Glendale,2013,0,0,4424,4424,1.73,2686,2559,127
005,33035,Greenwood Village,2013,8,9,14773,14716,2.42,6301,6072,229
005,45255,Littleton (Part),2013,7,785,41326,40799,2.22,18931,18417,514
005,69645,Sheridan,2013,1,264,5972,5972,2.52,2464,2370,94
005,99990,Unincorp. Area,2013,416,433,89971,89221,2.65,34502,33683,819
007,00000,ARCHULETA COUNTY,2013,53,0,11995,11878,2.28,8840,5219,3621
007,56860,Pagosa Springs,2013,3,2,1619,1559,2.34,925,665,260
007,99990,Unincorp. Area,2013,50,52,10376,10319,2.27,7915,4554,3361
009,00000,BACA COUNTY,2013,0,0,3637,3568,2.18,1968,1634,334
009,11645,Campo,2013,0,0,111,111,2.3,65,48,17
009,61315,Pritchett,2013,0,0,127,127,2.38,65,53,12
009,73330,Springfield,2013,0,0,1371,1320,2.07,734,637,97
009,79270,Two Buttes,2013,0,0,39,39,1.63,30,24,6
009,81030,Vilas,2013,0,0,83,83,2.58,37,32,5
009,82460,Walsh,2013,0,0,572,553,2.07,329,268,61
009,99990,Unincorp. Area,2013,0,0,1335,1335,2.33,708,572,136
011,00000,BENT COUNTY,2013,1,0,5800,4085,2.32,2122,1759,363
011,43660,Las Animas,2013,0,0,2341,2263,2.29,1178,987,191
011,99990,Unincorp. Area,2013,1,1,3459,1822,2.36,944,771,173
013,00000,BOULDER COUNTY,2013,1388,0,310896,299300,2.39,129616,125254,4362
013,07850,Boulder,2013,415,415,103443,92863,2.17,44144,42854,1290
013,24950,Erie (Part),2013,19,19,9022,9022,2.99,3052,3015,37
013,39195,Jamestown,2013,0,0,275,275,2.14,135,128,7
013,41835,Lafayette,2013,310,310,26211,26110,2.53,10533,10329,204
013,45970,Longmont (Part),2013,378,378,89709,89009,2.55,35904,34922,982
013,46355,Louisville,2013,177,173,19438,19289,2.42,8149,7961,188
013,47070,Lyons,2013,3,0,2146,2146,2.41,912,889,23
013,53175,Nederland,2013,1,0,1514,1509,2.19,739,689,50
013,75640,Superior (Part),2013,1,1,12689,12689,2.76,4703,4590,113
013,82735,Ward,2013,0,0,160,160,1.93,97,83,14
013,99990,Unincorp. Area,2013,84,84,46287,46228,2.34,21248,19794,1454
014,00000,BROOMFIELD COUNTY,2013,2010,0,60669,60404,2.56,25541,23579,1962
014,09280,Broomfield,2013,2010,0,60669,60404,2.56,25541,23579,1962
015,00000,CHAFFEE COUNTY,2013,106,0,18036,16720,2.16,10085,7756,2329
015,10105,Buena Vista,2013,22,22,2690,2690,2.2,1431,1222,209
015,60600,Poncha Springs,2013,3,6,697,697,2.25,350,310,40
015,67280,Salida,2013,26,0,5261,5089,2.02,2926,2524,402
015,99990,Unincorp. Area,2013,55,55,9388,8243,2.23,5378,3701,1677
017,00000,CHEYENNE COUNTY,2013,4,0,1819,1777,2.29,878,776,102
017,14175,Cheyenne Wells,2013,1,0,832,805,2.14,409,377,32
017,41010,Kit Carson,2013,0,0,266,251,2.3,133,109,24
017,99990,Unincorp. Area,2013,3,0,720,720,2.48,336,290,46
019,00000,CLEAR CREEK COUNTY,2013,6,0,8966,8876,2.14,5496,4157,1339
019,12910,Central City (Part),2013,0,0,0,0,0,0,0,0
019,24620,Empire,2013,0,0,306,306,1.78,201,172,29
019,29735,Georgetown,2013,0,0,1008,970,1.95,725,497,228
019,38370,Idaho Sprgs,2013,0,0,1736,1693,2.06,913,821,92
019,70360,Silver Plume,2013,0,0,183,183,1.98,146,92,54
019,99990,Unincorp. Area,2013,6,0,5733,5724,2.22,3511,2575,936
021,00000,CONEJOS COUNTY,2013,13,0,8067,8023,2.61,3856,3072,784
021,02355,Antonito,2013,0,0,737,736,2.24,377,329,48
021,42055,La Jara,2013,0,0,773,767,2.6,327,295,32
021,48060,Manassa,2013,2,0,947,947,2.68,391,353,38
021,65740,Romeo,2013,1,0,317,317,2.96,120,107,13
021,67830,Sanford,2013,1,0,867,867,2.86,332,303,29
021,99990,Unincorp. Area,2013,10,0,4425,4388,2.6,2309,1685,624
023,00000,COSTILLA COUNTY,2013,23,0,3516,3516,2.25,2310,1563,747
023,07190,Blanca,2013,1,0,349,349,2.72,150,128,22
023,68105,San Luis,2013,4,4,601,601,2.19,343,274,69
023,99990,Unincorp. Area,2013,17,0,2566,2566,2.21,1817,1162,655
025,00000,CROWLEY COUNTY,2013,0,0,5843,3112,2.38,1485,1308,177
025,18750,Crowley,2013,0,0,167,167,2.23,81,75,6
025,55705,Olney Springs,2013,0,0,344,344,2.52,156,136,20
025,56145,Ordway,2013,0,0,1094,1051,2.31,518,455,63
025,74815,Sugar City,2013,0,0,270,270,2.24,147,121,26
025,99990,Unincorp. Area,2013,0,0,3968,1281,2.46,583,522,61
027,00000,CUSTER COUNTY,2013,54,0,4405,4391,2.13,3775,2065,1710
027,70250,Silver Cliff,2013,1,0,583,583,1.99,378,293,85
027,83450,Westcliffe,2013,2,2,468,454,2.03,305,224,81
027,99990,Unincorp. Area,2013,51,54,3354,3354,2.17,3092,1547,1545
029,00000,DELTA COUNTY,2013,18,0,30428,29835,2.36,14616,12620,1996
029,12635,Cedaredge,2013,2,0,2219,2219,2.09,1176,1060,116
029,17925,Crawford,2013,0,0,419,419,2.33,214,180,34
029,19850,Delta,2013,7,0,8882,8734,2.47,3859,3543,316
029,37545,Hotchkiss,2013,0,0,907,907,2.23,456,407,49
029,55980,Orchard City,2013,0,0,3081,3021,2.33,1421,1296,125
029,57300,Paonia,2013,1,85,1417,1377,2.14,740,644,96
029,99990,Unincorp. Area,2013,8,8,13503,13158,2.4,6750,5490,1260
031,00000,DENVER COUNTY,2013,5382,0,645302,629224,2.22,295120,283994,11126
031,20000,Denver,2013,5382,5382,645302,629224,2.22,295120,283994,11126
033,00000,DOLORES COUNTY,2013,31,0,2082,2082,2.27,1186,916,270
033,21265,Dove Creek,2013,0,0,705,705,2.35,331,299,32
033,64090,Rico,2013,1,0,342,342,2.09,220,164,56
033,99990,Unincorp. Area,2013,30,29,1035,1035,2.29,635,453,182
035,00000,DOUGLAS COUNTY,2013,2483,0,306327,305221,2.79,111597,109511,2086
035,04000,Aurora (Part),2013,9,23,400,400,2.8,152,143,9
035,12387,City of Castle Pines,2013,7,7,10621,10611,2.95,3664,3603,61
035,12415,Castle Rock,2013,540,534,54099,53414,2.87,19014,18603,411
035,43550,Larkspur,2013,0,0,197,197,2.23,92,88,4
035,45255,Littleton (Part),2013,0,0,30,30,1.87,17,16,1
035,45955,Lone Tree,2013,555,555,11951,11951,2.48,4938,4824,114
035,57630,Parker,2013,421,419,48279,48231,2.84,17230,16972,258
035,99990,Unincorp. Area,2013,951,951,180749,180386,2.76,66490,65262,1228
037,00000,EAGLE COUNTY,2013,91,0,52262,52192,2.7,31014,19320,11694
037,04110,Avon,2013,4,0,6080,6080,2.71,3502,2242,1260
037,04935,Basalt (Part),2013,0,0,2708,2708,2.38,1320,1139,181
037,22200,Eagle,2013,1,1,6706,6636,2.94,2469,2258,211
037,33695,Gypsum,2013,43,0,6725,6725,3.21,2264,2095,169
037,50920,Minturn,2013,1,0,1014,1014,2.4,530,423,107
037,63265,Red Cliff,2013,0,0,223,223,2.27,118,98,20
037,80040,Vail,2013,17,0,5129,5128,2.03,7002,2523,4479
037,99990,Unincorp. Area,2013,25,30,23678,23678,2.77,13809,8542,5267
039,00000,ELBERT COUNTY,2013,44,0,23183,23111,2.75,8978,8392,586
039,23740,Elizabeth,2013,0,0,1345,1345,2.77,524,485,39
039,40790,Kiowa,2013,0,0,710,675,2.44,316,277,39
039,70635,Simla,2013,0,0,599,570,2.69,263,212,51
039,99990,Unincorp. Area,2013,44,42,20529,20521,2.77,7875,7419,456
041,00000,EL PASO COUNTY,2013,2879,0,658303,637964,2.57,261089,248215,12874
041,11260,Calhan,2013,0,0,792,792,2.52,343,314,29
041,16000,Colorado Springs,2013,1757,1757,439614,429910,2.45,184694,175588,9106
041,27865,Fountain,2013,264,264,27607,27607,2.97,9745,9283,462
041,32650,Green Mtn. Falls (Part),2013,4,4,796,772,2,541,386,155
041,48445,Manitou Springs,2013,4,4,5062,5029,1.98,2757,2534,223
041,51800,Monument,2013,24,0,6860,6860,3.02,2352,2272,80
041,57025,Palmer Lake,2013,13,0,2495,2492,2.51,1083,993,90
041,62660,Ramah,2013,0,0,124,124,2.2,66,56,10
041,99990,Unincorp. Area,2013,812,812,174952,164377,2.89,59508,56790,2718
043,00000,FREMONT COUNTY,2013,52,0,47183,38739,2.3,19620,16870,2750
043,09115,Brookside,2013,1,1,208,208,2.46,90,84,6
043,11810,Canon City,2013,4,0,16788,15198,2.23,7470,6807,663
043,15330,Coal Creek,2013,0,0,337,337,2.41,155,140,15
043,27040,Florence,2013,1,0,3743,3652,2.37,1707,1538,169
043,64970,Rockvale,2013,1,0,512,512,2.39,244,215,29
043,85155,Williamsburg,2013,0,0,674,674,2.55,285,264,21
043,99990,Unincorp. Area,2013,45,36,24922,18158,2.32,9669,7822,1847
045,00000,GARFIELD COUNTY,2013,96,0,56798,55839,2.72,23042,20522,2520
045,12030,Carbonate,2013,0,0,0,0,0,0,0,0
045,12045,Carbondale,2013,8,0,6281,6162,2.75,2438,2239,199
045,30780,Glenwood Springs,2013,61,0,9769,9569,2.5,4179,3832,347
045,53395,New Castle,2013,0,0,4371,4371,2.83,1669,1547,122
045,57400,Parachute,2013,0,0,1186,1186,2.87,539,413,126
045,64255,Rifle,2013,3,3,9636,9483,2.82,3701,3361,340
045,70195,Silt,2013,2,0,3179,3179,2.98,1147,1066,81
045,99990,Unincorp. Area,2013,22,15,22376,21888,2.71,9369,8064,1305
047,00000,GILPIN COUNTY,2013,8,0,5512,5466,2.2,3328,2488,840
047,07025,Black Hawk,2013,0,0,136,136,2.23,74,61,13
047,12910,Central City (Part),2013,0,0,731,731,1.94,497,377,120
047,99990,Unincorp. Area,2013,8,7,4645,4599,2.24,2757,2050,707
049,00000,GRAND COUNTY,2013,34,0,14948,14733,2.25,15676,6556,9120
049,28305,Fraser,2013,5,0,1470,1465,2.24,1347,653,694
049,31605,Granby,2013,0,0,1915,1915,2.4,1568,798,770
049,31715,Grand Lake,2013,14,1,400,397,1.92,743,207,536
049,37600,Hot Sulphur Springs,2013,5,1,637,605,2.45,291,247,44
049,41560,Kremmling,2013,0,0,1335,1332,2.37,632,562,70
049,85705,Winter Park,2013,11,0,1042,1030,2.02,2530,510,2020
049,99990,Unincorp. Area,2013,0,47,8148,7989,2.23,8565,3579,4986
051,00000,GUNNISON COUNTY,2013,47,0,15425,14414,2.22,11475,6486,4989
051,18310,Crested Butte,2013,12,0,1498,1498,2.07,1095,723,372
051,33640,Gunnison,2013,3,2,6065,5145,2.19,2674,2352,322
051,48555,Marble,2013,0,0,127,127,2.29,102,56,46
051,52570,Mount Crested Butte/G,2013,3,0,794,794,2.01,1469,394,1075
051,59830,Pitkin,2013,2,0,62,62,2.08,204,30,174
051,99990,Unincorp. Area,2013,27,0,6879,6788,2.32,5931,2932,2999
053,00000,HINSDALE COUNTY,2013,3,0,825,785,2.15,1284,365,919
053,42330,Lake City,2013,0,0,412,412,2.1,431,196,235
053,99990,Unincorp. Area,2013,3,0,413,374,2.21,853,169,684
055,00000,HUERFANO COUNTY,2013,24,0,6697,6551,2.09,4523,3132,1391
055,44100,La Veta,2013,0,0,864,864,1.93,567,447,120
055,82350,Walsenburg,2013,0,0,2964,2915,2.14,1617,1362,255
055,99990,Unincorp. Area,2013,24,24,2869,2772,2.09,2339,1323,1016
057,00000,JACKSON COUNTY,2013,2,0,1383,1381,2.13,1151,648,503
057,82130,Walden,2013,0,29,589,587,2.09,351,281,70
057,99990,Unincorp. Area,2013,2,2,794,794,2.16,800,367,433
059,00000,JEFFERSON COUNTY,2013,1093,0,552236,544284,2.42,233257,225291,7966
059,03455,Arvada (Part),2013,417,417,109541,108880,2.48,45015,43845,1170
059,08070,Bow Mar (Part),2013,1,0,267,267,3.04,92,88,4
059,23135,Edgewater,2013,1,0,5232,5232,2.26,2436,2315,121
059,30835,Golden,2013,2,0,19638,17187,2.24,7979,7677,302
059,42495,Lakeside,2013,0,0,10,10,1.14,10,9,1
059,43000,Lakewood,2013,325,317,146512,144288,2.27,65952,63454,2498
059,45255,Littleton (Part),2013,0,19,2376,2376,3.01,801,788,13
059,52075,Morrison,2013,0,0,417,267,2.1,131,127,4
059,52350,Mountain View,2013,2,0,524,524,1.99,275,263,12
059,75640,Superior (Part),2013,0,0,0,0,0,0,0,0
059,83835,Westminster (Part),2013,82,82,43815,43655,2.51,17818,17377,441
059,84440,Wheat Ridge,2013,1,2,31365,30798,2.13,15052,14445,607
059,99990,Unincorp. Area,2013,262,0,192539,190799,2.55,77696,74902,2794
061,00000,KIOWA COUNTY,2013,2,0,1397,1377,2.29,730,601,129
061,22145,Eads,2013,0,0,668,648,2.15,355,302,53
061,34740,Haswell,2013,0,0,67,67,2.08,37,32,5
061,69700,Sheridan Lake,2013,0,0,80,80,3.05,38,26,12
061,99990,Unincorp. Area,2013,2,0,582,582,2.42,300,241,59
063,00000,KIT CARSON COUNTY,2013,0,0,8006,7225,2.39,3379,3028,351
063,06530,Bethune,2013,0,0,218,218,3.04,79,72,7
063,10600,Burlington,2013,0,0,4020,3244,2.39,1470,1358,112
063,26765,Flagler,2013,0,0,562,562,2.07,309,271,38
063,69040,Seibert,2013,0,0,130,130,2.13,75,61,14
063,74485,Stratton,2013,0,0,646,641,2.32,315,276,39
063,81690,Vona,2013,0,0,110,110,2.16,61,51,10
063,99990,Unincorp. Area,2013,0,0,2319,2319,2.47,1070,939,131
065,00000,LAKE COUNTY,2013,20,0,7071,6997,2.42,4277,2896,1381
065,44320,Leadville,2013,0,0,2570,2501,2.11,1680,1183,497
065,99990,Unincorp. Area,2013,20,0,4501,4496,2.63,2597,1713,884
067,00000,LA PLATA COUNTY,2013,172,0,53146,51067,2.33,26262,21878,4384
067,05265,Bayfield,2013,14,0,2487,2487,2.61,1011,952,59
067,22035,Durango,2013,46,46,17525,15538,2.16,7995,7198,797
067,38535,Ignacio,2013,0,0,744,744,2.51,326,296,30
067,99990,Unincorp. Area,2013,112,0,32390,32298,2.4,16930,13433,3497
069,00000,LARIMER COUNTY,2013,2070,0,316337,307160,2.42,138277,127128,11149
069,06255,Berthoud (Part),2013,41,37,5549,5475,2.55,2247,2147,100
069,25115,Estes Park,2013,31,0,6276,6236,2.09,4176,2987,1189
069,27425,Fort Collins,2013,1144,1152,150727,143099,2.37,63043,60435,2608
069,39855,Johnstown (Part),2013,24,122,1770,1770,2.4,841,737,104
069,46465,Loveland,2013,317,318,69959,69405,2.42,29989,28717,1272
069,77510,Timnath (Part),2013,139,0,1586,1586,3.02,581,525,56
069,83230,Wellington,2013,68,71,6756,6756,2.89,2419,2337,82
069,85485,Windsor (Part),2013,180,180,5153,5153,2.88,1902,1790,112
069,99990,Unincorp. Area,2013,126,119,68562,67680,2.47,33079,27453,5626
071,00000,LAS ANIMAS COUNTY,2013,130,0,15172,14362,2.26,7915,6356,1559
071,00760,Aguilar,2013,0,0,498,498,2.26,269,221,48
071,08345,Branson,2013,0,0,73,73,2.23,46,33,13
071,15550,Cokedale,2013,1,0,131,131,2.42,88,54,34
071,40570,Kim,2013,0,0,82,82,1.92,55,43,12
071,73715,Starkville,2013,0,0,70,70,2.28,41,31,10
071,78610,Trinidad,2013,3,3,8857,8467,2.27,4259,3733,526
071,99990,Unincorp. Area,2013,125,125,5460,5041,2.25,3157,2242,915
073,00000,LINCOLN COUNTY,2013,9,0,5522,4504,2.31,2257,1953,304
073,03235,Arriba,2013,1,0,199,199,2.07,118,96,22
073,29680,Genoa,2013,1,0,98,98,2.27,53,43,10
073,37875,Hugo,2013,1,0,727,645,2.15,359,300,59
073,44980,Limon,2013,1,0,1936,1936,2.3,930,841,89
073,99990,Unincorp. Area,2013,6,0,2562,1626,2.42,797,672,125
075,00000,LOGAN COUNTY,2013,10,0,22056,18704,2.33,8526,8025,501
075,18640,Crook,2013,0,0,126,126,1.93,74,65,9
075,26875,Fleming,2013,1,0,442,442,2.44,201,181,20
075,38590,Iliff,2013,0,0,253,253,2.47,113,103,10
075,50040,Merino,2013,0,0,304,304,2.57,125,118,7
075,58235,Peetz,2013,0,0,239,239,2.41,105,99,6
075,73935,Sterling,2013,3,3,14275,11024,2.25,5202,4906,296
075,99990,Unincorp. Area,2013,6,11,6419,6318,2.47,2706,2553,153
077,00000,MESA COUNTY,2013,552,0,147926,143247,2.44,63811,58589,5222
077,15605,Collbran,2013,0,0,651,429,2.35,215,183,32
077,19355,De Beque,2013,0,0,487,485,2.66,218,182,36
077,28745,Fruita,2013,63,61,12925,12729,2.61,5268,4882,386
077,31660,Grand Junction,2013,275,275,60322,56390,2.28,26938,24770,2168
077,56970,Palisade,2013,11,9,2694,2586,2.18,1287,1187,100
077,99990,Unincorp. Area,2013,203,203,70848,70628,2.58,29885,27385,2500
079,00000,MINERAL COUNTY,2013,8,0,734,734,2.02,1119,363,756
079,14765,City of Creede,2013,4,0,245,245,1.8,230,136,94
079,99990,Unincorp. Area,2013,4,3,489,489,2.15,889,228,661
081,00000,MOFFAT COUNTY,2013,11,0,13187,13080,2.49,5990,5249,741
081,17760,Craig,2013,2,0,9163,9059,2.46,4006,3687,319
081,20495,Dinosaur,2013,0,0,263,263,2.53,145,104,41
081,99990,Unincorp. Area,2013,9,0,3761,3758,2.58,1839,1457,382
083,00000,MONTEZUMA COUNTY,2013,9,0,25485,25233,2.39,11960,10559,1401
083,17375,Cortez,2013,7,0,8564,8429,2.32,3913,3641,272
083,20770,Dolores,2013,1,0,908,899,2.11,489,426,63
083,48115,Mancos,2013,1,1,1222,1144,2.3,550,497,53
083,99990,Unincorp. Area,2013,0,0,14791,14760,2.46,7008,5996,1012
085,00000,MONTROSE COUNTY,2013,51,0,41331,40754,2.45,17500,16631,869
085,51745,Montrose,2013,19,19,20186,19709,2.34,8805,8412,393
085,53120,Naturita,2013,0,1,514,514,2.15,264,239,25
085,54935,Nucla,2013,0,0,627,627,2.25,302,279,23
085,55540,Olathe,2013,0,0,1833,1761,3.02,609,582,27
085,99990,Unincorp. Area,2013,32,31,18170,18142,2.55,7520,7118,402
087,00000,MORGAN COUNTY,2013,26,0,28249,27715,2.68,11033,10334,699
087,09555,Brush,2013,0,0,5287,4934,2.46,2128,2005,123
087,27810,Fort Morgan,2013,0,0,11589,11408,2.78,4278,4105,173
087,36610,Hillrose,2013,0,0,295,295,2.53,127,116,11
087,45695,Log Lane Village,2013,0,0,900,900,2.94,332,307,25
087,84770,Wiggins,2013,0,0,1083,1083,2.91,404,373,31
087,99990,Unincorp. Area,2013,26,26,9095,9095,2.65,3764,3429,335
089,00000,OTERO COUNTY,2013,4,0,18799,18371,2.38,8696,7718,978
089,13460,Cheraw,2013,0,0,229,229,2.5,100,91,9
089,27975,Fowler,2013,0,0,1246,1209,2.18,614,554,60
089,42110,La Junta,2013,0,0,7224,6944,2.34,3347,2964,383
089,48500,Manzanola,2013,0,0,387,387,2.54,177,152,25
089,65190,Rocky Ford,2013,0,0,3993,3924,2.39,1854,1641,213
089,75970,Swink,2013,0,0,624,624,2.47,284,252,32
089,99990,Unincorp. Area,2013,4,0,5097,5055,2.45,2320,2063,257
091,00000,OURAY COUNTY,2013,24,0,4515,4515,2.17,3112,2078,1034
091,56420,Ouray,2013,1,0,966,966,2.17,779,445,334
091,64200,Ridgway,2013,3,2,961,961,2.26,524,425,99
091,99990,Unincorp. Area,2013,20,0,2588,2588,2.14,1809,1207,602
093,00000,PARK COUNTY,2013,32,0,15730,15657,2.24,13809,6993,6816
093,01530,Alma,2013,1,0,255,255,2,173,127,46
093,25610,Fairplay,2013,2,0,695,695,2.24,405,311,94
093,99990,Unincorp. Area,2013,29,0,14780,14707,2.24,13231,6555,6676
095,00000,PHILLIPS COUNTY,2013,14,0,4486,4423,2.42,1964,1826,138
095,34960,Haxtun,2013,1,0,1008,987,2.27,482,434,48
095,37270,Holyoke,2013,8,0,2318,2276,2.44,981,932,49
095,57245,Paoli,2013,0,0,40,40,2.15,21,18,3
095,99990,Unincorp. Area,2013,5,0,1120,1120,2.54,480,442,38
097,00000,PITKIN COUNTY,2013,23,0,17321,17249,2.11,12699,8166,4533
097,03620,Aspen,2013,9,0,7078,7036,1.91,6012,3676,2336
097,04935,Basalt (Part),2013,0,0,957,957,2.34,514,408,106
097,71755,Snowmass Village,2013,3,0,3061,3051,2.16,2429,1412,1017
097,99990,Unincorp. Area,2013,11,0,6226,6206,2.32,3744,2670,1074
099,00000,PROWERS COUNTY,2013,4,0,12287,11956,2.49,5432,4804,628
099,31550,Granada,2013,0,0,471,471,2.77,203,170,33
099,34520,Hartman,2013,0,0,60,60,2.34,32,26,6
099,37215,Holly,2013,2,0,834,787,2.55,357,308,49
099,43110,Lamar,2013,1,1,7851,7573,2.45,3460,3089,371
099,85045,Wiley,2013,0,0,433,433,2.5,194,173,21
099,99990,Unincorp. Area,2013,1,1,2638,2632,2.54,1186,1038,148
101,00000,PUEBLO COUNTY,2013,284,0,160565,156556,2.46,70176,63742,6434
101,07795,Boone,2013,1,0,326,318,2.45,171,130,41
101,62000,Pueblo,2013,208,208,107287,103550,2.37,47864,43664,4200
101,66895,Rye,2013,0,0,160,160,2.24,114,71,43
101,99990,Unincorp. Area,2013,75,75,52792,52528,2.64,22027,19877,2150
103,00000,RIO BLANCO COUNTY,2013,6,0,6764,6358,2.43,3214,2616,598
103,49875,Meeker,2013,0,0,2396,2328,2.39,1145,974,171
103,62880,Rangely,2013,2,8,2652,2322,2.47,1109,942,167
103,99990,Unincorp. Area,2013,4,0,1717,1709,2.44,960,700,260
105,00000,RIO GRANDE COUNTY,2013,22,0,11868,11689,2.44,6365,4788,1577
105,12855,Center (Part),2013,0,0,100,100,2.47,53,41,12
105,19795,Del Norte,2013,0,0,1573,1536,2.36,799,651,148
105,51635,Monte Vista,2013,4,0,4346,4298,2.45,1919,1756,163
105,72395,South Fork,2013,1,18,472,466,2.12,542,220,322
105,99990,Unincorp. Area,2013,16,15,5376,5289,2.49,3052,2120,932
107,00000,ROUTT COUNTY,2013,36,0,23578,23238,2.35,15670,9903,5767
107,35070,Hayden,2013,4,1,1829,1829,2.45,813,748,65
107,55155,Oak Creek,2013,3,0,848,848,2.2,479,385,94
107,73825,Steamboat Springs,2013,13,13,12284,12002,2.29,9492,5248,4244
107,86475,Yampa,2013,1,0,395,395,2.44,197,162,35
107,99990,Unincorp. Area,2013,15,0,8222,8164,2.43,4689,3360,1329
109,00000,SAGUACHE COUNTY,2013,32,0,6166,6144,2.29,3321,2686,635
109,07571,Bonanza City,2013,1,0,23,23,1.42,29,16,13
109,12855,Center (Part),2013,0,0,2036,2036,2.78,807,732,75
109,18420,Crestone,2013,1,4,133,133,2.05,85,65,20
109,51250,Moffat,2013,0,0,119,119,2.28,64,52,12
109,67005,Saguache,2013,0,0,548,526,1.99,327,265,62
109,99990,Unincorp. Area,2013,30,31,3306,3306,2.12,2009,1556,453
111,00000,SAN JUAN COUNTY,2013,6,0,704,704,2,747,353,394
111,70580,Silverton,2013,3,0,633,633,1.97,504,321,183
111,99990,Unincorp. Area,2013,3,0,71,71,2.25,243,32,211
113,00000,SAN MIGUEL COUNTY,2013,12,0,7615,7499,2.16,6209,3467,2742
113,52550,Mountain Village,2013,4,3,1191,1191,1.81,1640,659,981
113,54880,Norwood,2013,0,0,494,494,2.4,236,206,30
113,55870,Ophir,2013,0,0,207,207,2.68,84,77,7
113,68655,Sawpit,2013,0,0,30,30,2.22,16,13,3
113,76795,Telluride,2013,8,0,2551,2551,2.14,2164,1191,973
113,99990,Unincorp. Area,2013,0,0,3142,3026,2.29,2069,1320,749
115,00000,SEDGWICK COUNTY,2013,2,0,2379,2342,2.16,1327,1086,241
115,39965,Julesburg,2013,0,0,1260,1222,2.11,697,580,117
115,56475,Ovid,2013,1,0,300,300,2.22,163,135,28
115,68930,Sedgwick,2013,0,0,168,168,2.04,112,82,30
115,99990,Unincorp. Area,2013,1,1,652,652,2.26,355,289,66
117,00000,SUMMIT COUNTY,2013,139,0,28860,28502,2.36,29882,12085,17797
117,07410,Blue River,2013,1,0,861,861,2.52,730,341,389
117,08400,Breckenridge,2013,41,0,4847,4712,2.27,7011,2080,4931
117,20440,Dillon,2013,2,0,947,947,2.01,1285,472,813
117,28690,Frisco,2013,46,0,2746,2746,2.08,3136,1320,1816
117,51690,Montezuma,2013,0,0,68,68,2.61,55,26,29
117,70525,Silverthorne,2013,21,0,3826,3823,2.66,2074,1439,635
117,99990,Unincorp. Area,2013,27,0,15567,15346,2.4,15591,6407,9184
119,00000,TELLER COUNTY,2013,75,0,23110,22963,2.35,12744,9769,2975
119,18530,Cripple Creek,2013,0,0,1134,1134,2.13,718,533,185
119,32650,Green Mtn. Falls (Part),2013,0,0,24,24,1.86,32,13,19
119,80865,Victor,2013,1,0,381,381,1.91,321,200,121
119,86090,Woodland Park,2013,10,10,7229,7229,2.44,3258,2968,290
119,99990,Unincorp. Area,2013,63,63,14342,14195,2.34,8415,6055,2360
121,00000,WASHINGTON COUNTY,2013,1,0,4614,4521,2.36,2199,1917,282
121,00925,Akron,2013,0,1,1670,1577,2.19,817,721,96
121,56365,Otis,2013,0,0,484,484,2.43,229,199,30
121,99990,Unincorp. Area,2013,1,2,2460,2460,2.47,1153,997,156
123,00000,WELD COUNTY,2013,1173,0,269770,263855,2.79,99547,94661,4886
123,03950,Ault,2013,2,0,1560,1560,2.64,617,591,26
123,06255,Berthoud (Part),2013,0,0,73,73,3.43,22,21,1
123,08675,Brighton (Part),2013,1,0,329,329,3.02,112,109,3
123,19080,Dacono,2013,8,8,4449,4449,2.89,1600,1541,59
123,22860,Eaton,2013,20,20,4591,4591,2.72,1740,1690,50
123,24950,Erie (Part),2013,104,104,11483,11483,2.85,4185,4027,158
123,25280,Evans,2013,20,20,19894,19890,2.92,7132,6817,315
123,26600,Firestone,2013,54,54,11075,11075,3.07,3758,3608,150
123,27700,Fort Lupton,2013,1,6,7506,7506,3.07,2545,2446,99
123,28360,Frederick,2013,229,229,10079,10079,2.97,3490,3398,92
123,29185,Garden City,2013,0,0,246,246,2.09,127,118,9
123,29955,Gilcrest,2013,0,0,1048,1048,3.18,346,330,16
123,32155,Greeley,2013,98,0,96566,91872,2.67,36522,34464,2058
123,33310,Grover,2013,0,0,155,155,2.21,88,70,18
123,37820,Hudson,2013,2,0,2522,1474,2.86,541,515,26
123,39855,Johnstown (Part),2013,192,192,10649,10649,2.99,3673,3567,106
123,40185,Keenesburg,2013,2,0,1175,1166,2.56,477,455,22
123,40515,Kersey,2013,7,0,1491,1491,2.91,537,512,25
123,43605,La Salle,2013,1,0,2030,2030,2.83,748,718,30
123,45530,Lochbuie (Part),2013,4,4,5256,5256,2.99,1835,1755,80
123,45970,Longmont (Part),2013,0,0,126,110,1.82,72,61,11
123,49600,Mead,2013,55,51,3930,3930,2.97,1359,1325,34
